,Year,Q,Quarter,Day of Week,Gross USD,key,Benchmark,% of Benchmark
104,2018,Q4,2018 Q4,Wednesday,597468.0,Q4_Wednesday,506189.0,118.03
105,2019,Q1,2019 Q1,Friday   ,571006.5,Q1_Friday   ,440469.5,129.64
106,2019,Q1,2019 Q1,Monday   ,444072.0,Q1_Monday   ,274147.44443333335,161.98
107,2019,Q1,2019 Q1,Saturday ,924334.0,Q1_Saturday ,549214.5,168.3
108,2019,Q1,2019 Q1,Sunday   ,441579.0,Q1_Sunday   ,250339.0,176.39
109,2019,Q1,2019 Q1,Thursday ,123580.5,Q1_Thursday ,239358.66666666666,51.63
110,2019,Q1,2019 Q1,Tuesday  ,509050.5,Q1_Tuesday  ,259529.1111,196.14
111,2019,Q1,2019 Q1,Wednesday,262631.5,Q1_Wednesday,358058.77776666667,73.35
112,2019,Q2,2019 Q2,Friday   ,695548.5,Q2_Friday   ,506786.6666666667,137.25
113,2019,Q2,2019 Q2,Saturday ,329081.5,Q2_Saturday ,532431.3333333334,61.81
114,2019,Q2,2019 Q2,Thursday ,301730.0,Q2_Thursday ,336029.0,89.79
115,2019,Q2,2019 Q2,Tuesday  ,411757.0,Q2_Tuesday  ,143075.8889,287.79
116,2019,Q2,2019 Q2,Wednesday,153588.0,Q2_Wednesday,300892.55556666665,51.04
117,2019,Q3,2019 Q3,Friday   ,760769.0,Q3_Friday   ,737153.8333333334,103.2
118,2019,Q3,2019 Q3,Saturday ,172015.0,Q3_Saturday ,430032.5,40.0
119,2019,Q3,2019 Q3,Thursday ,243362.0,Q3_Thursday ,487754.1666666667,49.89
120,2019,Q3,2019 Q3,Tuesday  ,208746.5,Q3_Tuesday  ,225165.33333333334,92.71
121,2019,Q3,2019 Q3,Wednesday,293866.5,Q3_Wednesday,331884.0,88.54
