Start Date,End Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
10/17/2009,10/17/2009,1,Monsters Of Folk,,1801,80848,80848,US DOLLAR,1801,100,39.5,45.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
10/16/2009,10/16/2009,1,Snow Patrol,Plain White T's,2800,98000,98000,US DOLLAR,2800,100,35,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
10/15/2009,10/15/2009,1,Gogol Bordello,Apostle Of Hustle,2579,83818,83818,US DOLLAR,2800,93,32.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
10/3/2009,,1,Denyce Graves,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/30/2009,10/1/2009,2,Kylie Minogue,,5280,401709,401709,US DOLLAR,2796,94.5,58.5,79.5,Fox Theater,Oakland,CA,United States,"Another Planet Entertainment, Bill Silva Presents"
9/26/2009,,1,Paulina Rubio,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/25/2009,,1,Hammer,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/24/2009,9/24/2009,1,Bon Iver,,2800,63000,63000,US DOLLAR,2800,100,22.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
9/23/2009,9/23/2009,1,Rodrigo Y Gabriela,Rocco DeLuca,2800,99400,99400,US DOLLAR,2800,100,35.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
9/22/2009,9/22/2009,1,The Australian Pink Floyd Show,,1493,55797,55797,US DOLLAR,1816,83,32.5,39.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
9/18/2009,9/20/2009,3,Furthur,,8400,415800,415800,US DOLLAR,2800,100,49.5,0,Fox Theater,Oakland,CA,United States,
9/17/2009,9/17/2009,1,Ben Harper,Joshua James,2168,75880,75880,US DOLLAR,2800,78,35,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
9/16/2009,9/16/2009,1,Arctic Monkeys,The Like,2800,75600,75600,US DOLLAR,2800,100,27,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
9/12/2009,,1,Paolo Nutini,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
9/11/2009,9/11/2009,1,Flogging Molly,"Fitz And The Tantrums, Hepcat",2476,73095,73095,US DOLLAR,2800,89,29.5,30,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
9/9/2009,9/10/2009,2,Yeah Yeah Yeahs,,5349,190421,190421,US DOLLAR,2800,96,35.5,40,Fox Theater,Oakland,CA,United States,
8/17/2009,8/17/2009,1,Third Eye Blind,The Upwelling,2043,60306,60306,US DOLLAR,2800,73,29.5,30,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
8/7/2009,8/7/2009,1,Underworld,Damian Lazarus,1898,81750,81750,US DOLLAR,2800,68,43.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
8/2/2009,8/2/2009,1,Sonic Youth,Awesome Color,2653,94762,94762,US DOLLAR,2800,95,35.5,40,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
7/26/2009,7/26/2009,1,Eric Benet / Mint Condition / Ledisi,,1750,124000,124000,US DOLLAR,1750,100,49.75,82.75,Fox Theater,Oakland,CA,United States,"Another Planet Entertainment, Bay Area Productions"
7/26/2009,,1,Mint Condition,,,,,,,0,,,Fox Theater,Oakland,CA,United States,
7/25/2009,,1,"""Lebowski Fest""",,,,,,,0,,,Fox Theater,Oakland,CA,United States,
7/24/2009,7/24/2009,1,Of Montreal,Jon Brion,2430,66825,66825,US DOLLAR,2800,87,27.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/26/2009,5/26/2009,1,Animal Collective,Grouper,2800,71400,71400,US DOLLAR,2800,100,25.5,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
5/22/2009,5/22/2009,1,TV On The Radio,Dirty Projectors,2800,84000,84000,US DOLLAR,2800,100,30,0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
