,Event Date,Year,Month,Q,Quarter,Season,Day of Week,Time of Week,Number of Shows,Show Type,Headliner,Support,Number of Supporting Acts,Tickets Sold,Gross USD,Venue Capacity,Percent Tickets Sold,Minimum Ticket Price,Maximum Ticket Price,Ticket Range,Artist Start Date,Years Active,Artist Hometown,US Region,Local or Not,Miles From Home,Artist Genre,Main Genre,Hometown Latitude,Hometown Longitude
76,2009-04-23,2009,April,Q2,2009 Q2,Spring,Thursday ,Weekend,1.0,single headliner,Jeff Beck,Davy Knowles,1.0,2800.0,172158.0,2800.0,100.0,49.5,65.0,15.5,1975.0,34.0,"Wallington, Sutton, London, England, United Kingdom",International,International,5368.397244,Rock,rock,51.357945,-0.1495621
77,2009-04-24,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
78,2009-04-25,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
79,2009-04-26,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
80,2009-04-27,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
81,2009-04-28,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
82,2009-04-29,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
83,2009-04-30,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
84,2009-05-01,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
85,2009-05-02,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
86,2009-05-03,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
87,2009-05-04,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
88,2009-05-05,2009,May,Q2,2009 Q2,Spring,Tuesday  ,Weekday,1.0,single headliner,Seal,Peter Cincotti,1.0,1729.0,119786.0,1729.0,100.0,50.0,80.0,30.0,1991.0,18.0,"Paddington, Westminster, London, England, United Kingdom",International,International,5359.55552,Pop,pop,51.5170856,-0.1775422
89,2009-05-06,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
90,2009-05-07,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
91,2009-05-08,2009,May,Q2,2009 Q2,Spring,Friday   ,Weekend,1.0,single headliner,Keane,The Helio Sequence,1.0,2674.0,102949.0,2800.0,96.0,38.5,38.5,0.0,2004.0,5.0,"Battle, East Sussex, England, United Kingdom",International,International,5409.432076,Rock,alternative rock,50.9177711,0.4836541
92,2009-05-09,2009,May,Q2,2009 Q2,Spring,Saturday ,Weekend,1.0,single headliner,The Shins,Delta Spirit,1.0,2800.0,99400.0,2800.0,100.0,35.5,35.5,0.0,2001.0,8.0,"Albuquerque, New Mexico, United States",Southwest,US,889.0070586,Indie,indie rock,35.0841034,-106.6509851
93,2009-05-10,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
94,2009-05-11,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
95,2009-05-12,2009,May,Q2,2009 Q2,Spring,Tuesday  ,Weekday,2.0,multiple shows,The Allman Brothers Band,Warren Haynes,1.0,2800.0,163800.0,2800.0,100.0,58.5,58.5,0.0,1969.0,40.0,"Macon, Georgia, United States",South,US,2193.919076,Blues,blues rock,32.8406946,-83.6324022
96,2009-05-13,2009,May,Q2,2009 Q2,Spring,Wednesday,Weekday,2.0,multiple shows,The Allman Brothers Band,Warren Haynes,1.0,2800.0,163800.0,2800.0,100.0,58.5,58.5,0.0,1969.0,40.0,"Macon, Georgia, United States",South,US,2193.919076,Blues,blues rock,32.8406946,-83.6324022
97,2009-05-14,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
98,2009-05-15,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
99,2009-05-16,2009,May,Q2,2009 Q2,Spring,Saturday ,Weekend,1.0,single headliner,M. Ward,Richmond Fontaine,1.0,2209.0,65165.0,2800.0,79.0,29.5,29.5,0.0,1999.0,10.0,"Thousand Oaks, California, United States",West Coast,US,313.4885888,Folk,indie folk,34.17142715,-118.91058772974445
100,2009-05-17,2009,May,Q2,2009 Q2,Spring,Sunday   ,Weekday,1.0,single headliner,Ben Folds,The Unthanks,1.0,1753.0,58643.0,1900.0,93.0,35.0,35.0,0.0,2001.0,8.0,"Winston-Salem, North Carolina, United States",South,US,2309.140538,Rock,alternative rock,36.0998131,-80.2440518
101,2009-05-18,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
102,2009-05-19,2009,May,Q2,2009 Q2,Spring,Tuesday  ,Weekday,1.0,single headliner,John Vanderslice,No support,0.0,279.0,4464.0,300.0,93.0,16.0,16.0,0.0,2000.0,9.0,"Gainesville, Florida, United States",South,US,2349.0974109999997,Rock,experimental rock,29.6519684,-82.3249846
103,2009-05-20,2009,May,Q2,2009 Q2,Spring,Wednesday,Weekday,1.0,single headliner,The Decemberists,Other Lives,1.0,2800.0,98000.0,2800.0,100.0,35.0,35.0,0.0,2002.0,7.0,"Portland, Oregon, United States",West Coast,US,532.6430303000001,Folk,indie folk,45.5202471,-122.6741949
104,2009-05-21,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
105,2009-05-22,2009,May,Q2,2009 Q2,Spring,Friday   ,Weekend,1.0,single headliner,TV On The Radio,Dirty Projectors,1.0,2800.0,84000.0,2800.0,100.0,30.0,30.0,0.0,2004.0,5.0,"Brooklyn, New York, New York, United States",Northeast,US,2567.263768,Indie,indie rock,40.6501038,-73.9495823
106,2009-05-23,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
107,2009-05-24,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
