Start Date,Num Shows,Headliner,Support,Tickets Sold,Gross USD,Gross Gate,Currency,Venue Capacity,Percentage Sold,Ticket Price Min,Ticket Price Max,Venue Name,Venue City,Venue State,Venue Country,Promoter
2016-01-19,3,Van Morrison,Shana Morrison,1958.0,312414.3333333333,937243.0,US DOLLAR,1958.0,100.0,89.5,249.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-01-20,3,Van Morrison,Shana Morrison,1958.0,312414.3333333333,937243.0,US DOLLAR,1958.0,100.0,89.5,249.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-01-21,1,Madeon,Skylar Spence,2800.0,98205.0,98205.0,US DOLLAR,2800.0,100.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-01-22,2,The Devil Makes Three,Parker Millsap,2148.0,59369.0,118738.0,US DOLLAR,2800.0,77.0,27.5,30.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-01-23,2,The Devil Makes Three,Parker Millsap,2148.0,59369.0,118738.0,US DOLLAR,2800.0,77.0,27.5,30.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-01-27,1,Bryson Tiller,They.,2800.0,82600.0,82600.0,US DOLLAR,2800.0,100.0,29.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-01-29,1,STS9,,2776.0,96466.0,96466.0,US DOLLAR,2776.0,100.0,33.5,38.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-01-30,1,Dr. Dog,Hop Along,2530.0,69813.0,69813.0,US DOLLAR,2800.0,91.0,27.5,30.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-02-03,1,Godspeed You! Black Emperor,Xylouris White,2800.0,82600.0,82600.0,US DOLLAR,2800.0,100.0,29.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-02-05,1,Seal,DJ Funklor,1639.0,131939.0,131939.0,US DOLLAR,1915.0,86.0,59.5,99.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-02-06,1,50 Cent,"Big Von, Chris Brown, DJ Drama, MC Supernatural, Mustard, Ty Dolla $ign",2612.0,134644.0,134644.0,US DOLLAR,2612.0,100.0,49.5,0.0,Fox Theater,Oakland,CA,United States,"Ankh Marketing, Another Planet Entertainment, Guerilla Union"
2016-02-08,1,Troye Sivan ,Allie X,2800.0,73500.0,73500.0,US DOLLAR,2800.0,100.0,26.25,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-02-20,1,Chic Feat. Nile Rodgers,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-02-26,2,Vance Joy,"Elle King, Jamie Lawson",2800.0,91000.0,182000.0,US DOLLAR,2800.0,100.0,32.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-02-27,2,Vance Joy,"Elle King, Jamie Lawson",2800.0,91000.0,182000.0,US DOLLAR,2800.0,100.0,32.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-02-28,1,Joe Satriani,"Bryan Beller Band, Marco Minnemann, Mike Keneally",1716.0,98855.0,98855.0,US DOLLAR,1716.0,100.0,45.0,75.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-01,1,Jennifer Nettles,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-03-07,1,Animal Collective,Ratking,2800.0,99260.0,99260.0,US DOLLAR,2800.0,100.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-11,2,String Cheese Incident,,2731.0,136774.5,273549.0,US DOLLAR,2731.0,100.0,49.95,55.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-12,2,String Cheese Incident,,2731.0,136774.5,273549.0,US DOLLAR,2731.0,100.0,49.95,55.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-13,1,Jose Gonzalez,Ymusic,1921.0,86570.0,86570.0,US DOLLAR,1921.0,100.0,45.0,50.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-17,1,Leon Bridges,Son Little,2800.0,98000.0,98000.0,US DOLLAR,2800.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-25,1,Umphrey's McGee,Tauk,2052.0,61535.0,61535.0,US DOLLAR,2800.0,74.0,29.5,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-26,1,Too Short,,2800.0,133213.0,133213.0,US DOLLAR,2800.0,100.0,39.5,49.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-27,1,Joanna Newsom,Robin Pecknold ,1940.0,81030.0,81030.0,US DOLLAR,1940.0,100.0,35.0,45.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-03-31,1,Too Short,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-04-01,2,Father John Misty,Tess &amp; Dave,2800.0,98000.0,196000.0,US DOLLAR,2800.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-02,2,Father John Misty,Tess &amp; Dave,2800.0,98000.0,196000.0,US DOLLAR,2800.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-08,1,Generation Axe,"Nuno Bettencourt, Steve Vai, Tosin Abasi, Yngwie Malmsteen, Zakk Wylde",1542.0,102980.0,102980.0,US DOLLAR,1819.0,85.0,49.5,79.5,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-14,1,Parov Stelar,,2715.0,95165.0,95165.0,US DOLLAR,2800.0,97.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-16,1,Underworld,,2285.0,113179.0,113179.0,US DOLLAR,2800.0,82.0,49.5,55.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-17,1,M83,Yacht,2800.0,119000.0,119000.0,US DOLLAR,2800.0,100.0,42.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-18,2,Chvrches,Wolf Alice,2800.0,98000.0,196000.0,US DOLLAR,2800.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-19,2,Chvrches,Wolf Alice,2800.0,98000.0,196000.0,US DOLLAR,2800.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-20,1,Grimes,Tei Shi,2800.0,98000.0,98000.0,US DOLLAR,2800.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-22,1,James Bay ,Joseph,2800.0,91000.0,91000.0,US DOLLAR,2800.0,100.0,32.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-23,1,Bonnie Raitt,The California Honeydrops,1915.0,165758.0,165758.0,US DOLLAR,1915.0,100.0,59.5,125.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-04-26,1,Zhu,Gallant,2800.0,82600.0,82600.0,US DOLLAR,2800.0,100.0,29.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-06,1,Mayer Hawthorne,Gabriel Garzón-Montano,2395.0,77645.0,77645.0,US DOLLAR,2800.0,86.0,32.35,35.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-07,1,Explosions In The Sky,Disappears,2828.0,98980.0,98980.0,US DOLLAR,2828.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-08,1,Dream Theater,,1732.0,114746.0,114746.0,US DOLLAR,1859.0,94.0,49.5,85.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-09,1,The Neighbourhood,"Amir Obe, Kevin Abstract",2282.0,72904.0,72904.0,US DOLLAR,2800.0,82.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-12,1,David Cross,,,,,,,0.0,,,Fox Theater,Oakland,CA,United States,
2016-05-13,1,Caifanes,,2828.0,173699.0,173699.0,US DOLLAR,2828.0,100.0,49.5,65.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-18,2,Tori Kelly,Thirdstory,2825.0,91910.0,183820.0,US DOLLAR,2825.0,100.0,32.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-19,2,Tori Kelly,Thirdstory,2825.0,91910.0,183820.0,US DOLLAR,2825.0,100.0,32.5,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-23,1,"""Comedy Bang! Bang!""","Lauren Lapkus, Paul F. Tompkins, Scott Aukerman, The Neil Campbell Collective",1854.0,64890.0,64890.0,US DOLLAR,1854.0,100.0,35.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-26,1,Gorgon City / Rudimental,"219 Boys, Ardalan",2397.0,94803.0,94803.0,US DOLLAR,2800.0,86.0,39.5,45.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-05-29,1,Lamb Of God,"Clutch, Corrosion Of Conformity",2690.0,106574.0,106574.0,US DOLLAR,2800.0,97.0,39.5,45.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-06-04,1,The Kills,L.A. Witch,2474.0,86695.0,86695.0,US DOLLAR,2800.0,89.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-06-08,1,Caravan Palace,Delachaux,2527.0,88845.0,88845.0,US DOLLAR,2800.0,91.0,35.0,40.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-06-11,1,The Growlers,Jonathan Richman,2295.0,57375.0,57375.0,US DOLLAR,2800.0,82.0,25.0,0.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
2016-06-17,1,John Carpenter,,1279.0,67825.0,67825.0,US DOLLAR,1859.0,69.0,39.5,65.0,Fox Theater,Oakland,CA,United States,Another Planet Entertainment
